model,N,L,none,time_none,static,time_static,rel_static
lda_fixed_numtopic,1000,100,72253.73223848044,50.162660875,1.1717553289883056,287.882621584,61662.81513809232
linear_regression,1000,100,338000.98300625465,1.571532208,337071.8816086117,2.1539385,1.0027563895072145
marsaglia,1000,100,0.07828608550664425,0.994867416,0.01430128205618568,0.502966042,5.474060661070834
pcfg,1000,100,0.006755756491592104,1.301997042,0.011759255447700897,1.190713375,0.5745054626662567
pedestrian,1000,100,3.071553579761617e6,2.726644459,3.0761847544835433e6,5.521768958,0.9984945069651046
hmm_unrolled,1000,100,2116.655240165538,7.144375917,2.353510223776137,10.781616834,899.3609710220114
aircraft,1000,100,8173.831495758622,5.369068125,78.93236286618641,9.753764292,103.55488166008247
bayesian_network,1000,100,416.8653532594479,6.322604166,4.380497747017485,12.008198541,95.16392367585982
geometric,1000,100,0.1400177979200887,0.690581292,0.16092556814043238,0.358709833,0.8700780089705917
gmm_fixed_numclust,1000,100,9.234622986906433e9,17.9066935,1.0054611750656994e6,40.100411958,9184.465015571604
hmm,1000,100,2116.088679231011,7.211952958,1278.735105096853,51.300655916,1.6548295818239354
hurricane,1000,100,0.3400946291823435,0.986984916,0.36232926523319997,0.789959458,0.938634170119971
lda_fixed_numtopic,1000,100,72326.99850076347,51.915957916,1.1759608741739205,306.036630375,61504.59601946464
linear_regression,1000,100,348811.53409516916,1.421596416,347878.0489309369,1.642043917,1.002683368976861
marsaglia,1000,100,0.06560829008781283,1.065213084,0.011434545426218206,0.536978959,5.737726130973248
pcfg,1000,100,0.00994951567654194,1.408735708,0.01961447479838467,1.238085375,0.5072537388236019
pedestrian,1000,100,3.1159008433577977e6,2.746543667,3.1547604031589166e6,5.5382605,0.987682246879285
hmm_unrolled,1000,100,2116.088679231011,7.229818916,2.3418452216011216,11.10920625,903.5988628591942
aircraft,1000,100,7867.159202228787,5.63151475,81.04885561326873,10.403727167,97.06687580843317
bayesian_network,1000,100,415.03955656532924,6.472767958,4.372913866432768,12.465315417,94.91144103048624
geometric,1000,100,0.16744081998001065,0.720490917,0.17809817741023182,0.384522583,0.9401602105917514
gmm_fixed_numclust,1000,100,8.117563028730797e9,18.156203625,1.0231176170791172e6,41.920761584,7934.144514005636
hmm,1000,100,2115.590392304268,7.576194666,1279.9531320440806,56.128026416,1.6528655146346474
hurricane,1000,100,0.33509747000771056,1.024570875,0.3599505797043776,0.813085834,0.9309541056522855
lda_fixed_numtopic,1000,100,72272.92776384094,50.8022765,1.170047073976245,299.744044459,61769.24789720748
linear_regression,1000,100,336698.8761019502,1.3501745,335800.53658616834,1.510041417,1.002675217630426
marsaglia,1000,100,0.27226873898183523,1.023796,0.012400963714679173,0.532889709,21.955450015513502
pcfg,1000,100,0.01827689782482821,1.311912042,0.033740481386346555,1.201527916,0.5416904879200731
pedestrian,1000,100,3.099193648343435e6,2.778882709,3.1111404672859497e6,5.401718625,0.9961599872882189
hmm_unrolled,1000,100,2115.590392304268,6.893420792,2.3514263777639313,10.673247375,899.7051374051823
aircraft,1000,100,7711.7455368932715,5.47545625,81.03092121217304,10.220065208,95.17040435342797
bayesian_network,1000,100,415.2970579457368,6.308869792,4.3566682006946476,11.974677375,95.32446328584764
geometric,1000,100,0.17433778796362523,0.712904625,0.18532993704888134,0.390484625,0.9406887561702625
gmm_fixed_numclust,1000,100,8.825215885887508e9,17.379337625,1.2749919733171826e6,39.084306042,6921.7815253587005
hmm,1000,100,2116.1838936895538,7.669572875,1279.4676471382897,57.232219375,1.6539565485869832
hurricane,1000,100,0.33633583521332805,0.945449416,0.36113475831143893,0.790840083,0.9313305559008958
lda_fixed_numtopic,1000,100,72269.99850511138,50.989425167,1.1717917206905415,296.751142,61674.78164338145
linear_regression,1000,100,348733.21420833736,1.372867042,347775.76501775364,1.677324042,1.0027530647241474
marsaglia,1000,100,0.009446279919120917,1.024605583,0.0010065778478514456,0.512056625,9.384549778523473
pcfg,1000,100,0.004330084169342611,1.285645792,0.0072591653537874366,1.203404375,0.5964989028777818
pedestrian,1000,100,3.1273183616041914e6,2.878725209,3.123135203870019e6,5.906252166,1.0013394097472914
hmm_unrolled,1000,100,2116.1838936895538,7.39669625,2.3544150875873893,11.019415541,898.81512603542
aircraft,1000,100,7870.88644307379,5.334407292,79.06734575250319,10.066808375,99.54661267764394
bayesian_network,1000,100,416.68471746353555,6.599580708,4.360565651064201,12.60483,95.55749203359504
geometric,1000,100,0.17748386419609488,0.708275125,0.186150653765869,0.38000525,0.9534420675165891
gmm_fixed_numclust,1000,100,8.093588800499935e9,18.143099708,909158.1510736239,39.018549833,8902.289212214866
hmm,1000,100,2115.090026109218,7.332746708,1278.524119020483,59.422600541,1.6543215686299715
hurricane,1000,100,0.3382399043333546,0.983562416,0.36048021167781835,0.788122334,0.9383036665426141
lda_fixed_numtopic,1000,100,72309.28922908803,50.905432375,1.175341978092053,303.115246083,61521.914963395226
linear_regression,1000,100,321698.4185832053,1.327747916,320784.48009559134,1.549856041,1.0028490732698216
marsaglia,1000,100,0.06427789855126866,1.059923958,0.012349508761530674,0.54063075,5.204895173765735
pcfg,1000,100,0.02655923140982563,1.281333542,0.05612282362426732,1.202970208,0.4732340551436815
pedestrian,1000,100,3.1246766920622713e6,2.692100792,3.1559055704468004e6,5.249637333,0.9901046220530269
hmm_unrolled,1000,100,2115.090026109218,7.021055125,2.3471439235348743,10.539659291,901.1335031061172
aircraft,1000,100,7941.524246458284,5.360802041,79.5842641482082,9.826575125,99.7876192166449
bayesian_network,1000,100,416.5460662188202,6.631917875,4.404399355210396,12.902012834,94.57499936422592
geometric,1000,100,0.1805417892989885,0.694470709,0.2067779623055403,0.365946666,0.873119104598852
gmm_fixed_numclust,1000,100,9.896470045026947e9,18.11018075,1.1077230344951877e6,38.895499792,8934.065408811304
hmm,1000,100,2116.3271615111016,6.8477785,1278.5848533925268,49.009366292,1.6552105680712197
hurricane,1000,100,0.33487110016861876,0.972770708,0.35995545989908256,0.765443042,0.9303126010715423
lda_fixed_numtopic,1000,100,72333.24277245879,53.741581541,1.174353330934275,325.95310575,61594.10534043698
linear_regression,1000,100,333286.92447233247,1.287451792,332338.31778568885,1.4656025,1.0028543403991572
marsaglia,1000,100,0.054620222338966594,1.040687833,0.011676000844314072,0.519889458,4.67799061230501
pcfg,1000,100,0.011531691036372606,1.316231375,0.020161639503916865,1.254248,0.5719619693692226
pedestrian,1000,100,3.1503640724351415e6,2.657950375,3.161877652320182e6,5.132616875,0.9963586257436015
hmm_unrolled,1000,100,2116.3271615111016,7.152421834,2.3450607888120323,10.627803208,902.4615360112676
